         2762322 function calls (2682407 primitive calls) in 3.838 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.004    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       18    0.000    0.000    0.004    0.000 platform.py:885(system)
       35    0.000    0.000    0.004    0.000 platform.py:747(uname)
        1    0.000    0.000    0.004    0.004 platform.py:604(_syscmd_uname)
      745    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
      314    0.001    0.000    0.004    0.000 overrides.py:170(decorator)
        4    0.000    0.000    0.004    0.001 __init__.py:23(__load_extra_py_code_for_module)
       31    0.001    0.000    0.004    0.000 enum.py:157(__new__)
        1    0.000    0.000    0.004    0.004 _codata.py:7(<module>)
     1117    0.002    0.000    0.004    0.000 functools.py:34(update_wrapper)
       13    0.000    0.000    0.004    0.000 enum.py:483(_convert_)
     1423    0.001    0.000    0.004    0.000 _ufunc_config.py:434(__exit__)
       27    0.000    0.000    0.004    0.000 pyparsing.py:3278(__init__)
      419    0.001    0.000    0.004    0.000 _linesearch.py:496(_quadmin)
    50676    0.004    0.000    0.004    0.000 shape_base.py:19(_atleast_1d_dispatcher)
     9353    0.004    0.000    0.004    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
     1045    0.001    0.000    0.004    0.000 colors.py:149(to_rgba)
        1    0.000    0.000    0.004    0.004 _pslinux.py:5(<module>)
        3    0.000    0.000    0.003    0.001 _methods.py:163(_mean)
        1    0.000    0.000    0.003    0.003 font_manager.py:1(<module>)
        2    0.000    0.000    0.003    0.002 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 category.py:1(<module>)
        1    0.000    0.000    0.003    0.003 axis.py:1(<module>)
     6045    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
    33992    0.003    0.000    0.003    0.000 function_base.py:866(_copy_dispatcher)
      891    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
       16    0.000    0.000    0.003    0.000 enum.py:430(_create_)
     1368    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       19    0.000    0.000    0.003    0.000 rcsetup.py:879(validate_cycler)
        1    0.000    0.000    0.003    0.003 _root.py:1(<module>)
        1    0.000    0.000    0.003    0.003 disk.py:1(<module>)
       31    0.000    0.000    0.003    0.000 _collections_abc.py:824(update)
       30    0.000    0.000    0.003    0.000 __init__.py:774(__init__)
      972    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        2    0.000    0.000    0.003    0.002 _pep440.py:1(<module>)
        6    0.000    0.000    0.003    0.001 dataclasses.py:1010(wrap)
        6    0.000    0.000    0.003    0.001 dataclasses.py:807(_process_class)
     8661    0.003    0.000    0.003    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.003    0.003 image.py:1(<module>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _linprog.py:1(<module>)
      492    0.000    0.000    0.003    0.000 rcsetup.py:374(validate_color)
     2092    0.002    0.000    0.003    0.000 inspect.py:2489(__init__)
      684    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       82    0.000    0.000    0.003    0.000 docstring.py:113(dedent_interpd)
        1    0.000    0.000    0.003    0.003 reduction.py:11(<module>)
        4    0.002    0.000    0.003    0.001 _codata.py:1503(parse_constants_2002to2014)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
     2846    0.002    0.000    0.003    0.000 _ufunc_config.py:131(geterr)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
     1016    0.001    0.000    0.003    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.003    0.003 _misc.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _parser.py:2(<module>)
    22373    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      167    0.000    0.000    0.002    0.000 rcsetup.py:68(f)
       36    0.000    0.000    0.002    0.000 __init__.py:1496(_add_data_doc)
        1    0.000    0.000    0.002    0.002 inspect.py:1(<module>)
        1    0.000    0.000    0.002    0.002 context.py:1(<module>)
        1    0.000    0.000    0.002    0.002 subprocess.py:10(<module>)
        1    0.000    0.000    0.002    0.002 _matfuncs.py:4(<module>)
      491    0.000    0.000    0.002    0.000 colors.py:120(is_color_like)
     1194    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
       67    0.000    0.000    0.002    0.000 inspect.py:3103(signature)
        1    0.000    0.000    0.002    0.002 mathtext.py:2254(Parser)
        2    0.000    0.000    0.002    0.001 _pep440.py:285(Version)
       67    0.000    0.000    0.002    0.000 inspect.py:2851(from_callable)
        1    0.000    0.000    0.002    0.002 __init__.py:878(rc_params)
        1    0.000    0.000    0.002    0.002 __init__.py:17(<module>)
        1    0.000    0.000    0.002    0.002 equality_constrained_sqp.py:1(<module>)
      623    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 pathlib.py:1(<module>)
      288    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.002    0.002 mathtext.py:2838(<lambda>)
      406    0.001    0.000    0.002    0.000 deprecation.py:9(wrap)
        1    0.000    0.000    0.002    0.002 mathtext.py:2838(<listcomp>)
      373    0.001    0.000    0.002    0.000 colors.py:185(_to_rgba_no_colorcycle)
      284    0.001    0.000    0.002    0.000 overrides.py:88(verify_matching_signatures)
       20    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      192    0.001    0.000    0.002    0.000 sre_compile.py:536(_compile_info)
    25026    0.002    0.000    0.002    0.000 fromnumeric.py:1751(_ravel_dispatcher)
     5122    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.002    0.002 font_manager.py:916(json_load)
        1    0.000    0.000    0.002    0.002 __init__.py:274(load)
       10    0.000    0.000    0.002    0.000 pyparsing.py:5103(__init__)
      710    0.001    0.000    0.002    0.000 inspect.py:2772(__init__)
        1    0.000    0.000    0.002    0.002 backend_bases.py:1(<module>)
       11    0.000    0.000    0.002    0.000 pyparsing.py:1895(parseString)
     32/9    0.000    0.000    0.002    0.000 pyparsing.py:4449(leaveWhitespace)
     7142    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.002    0.002 cloudpickle.py:1(<module>)
      684    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
        3    0.000    0.000    0.002    0.001 __init__.py:299(loads)
       36    0.000    0.000    0.002    0.000 dataclasses.py:375(_create_fn)
        1    0.000    0.000    0.002    0.002 _store_backends.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _internal.py:1(<module>)
        3    0.000    0.000    0.002    0.001 decoder.py:332(decode)
        3    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
      254    0.000    0.000    0.002    0.000 rcsetup.py:358(validate_color_for_prop_cycle)
     1260    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        3    0.000    0.000    0.002    0.001 version.py:1(<module>)
        1    0.000    0.000    0.002    0.002 reduction.py:10(<module>)
      111    0.000    0.000    0.002    0.000 rcsetup.py:90(<listcomp>)
        2    0.000    0.000    0.002    0.001 shape_base.py:1(<module>)
      410    0.000    0.000    0.002    0.000 pyparsing.py:1417(copy)
    23623    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
    29423    0.002    0.000    0.002    0.000 {method 'lstrip' of 'str' objects}
        7    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:906(source_to_code)
        1    0.000    0.000    0.002    0.002 table.py:9(<module>)
    17224    0.002    0.000    0.002    0.000 numeric.py:2398(_array_equal_dispatcher)
 1296/422    0.001    0.000    0.002    0.000 sre_parse.py:174(getwidth)
       79    0.002    0.000    0.002    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 secrets.py:1(<module>)
     1519    0.000    0.000    0.002    0.000 re.py:188(match)
        1    0.000    0.000    0.002    0.002 lapack.py:1(<module>)
      322    0.000    0.000    0.002    0.000 function_base.py:475(add_newdoc)
   260/11    0.000    0.000    0.002    0.000 pyparsing.py:1641(_parseNoCache)
     1368    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        2    0.000    0.000    0.002    0.001 _add_newdocs.py:1(<module>)
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4032(parseImpl)
    10754    0.001    0.000    0.002    0.000 mathtext.py:2839(<genexpr>)
      411    0.001    0.000    0.002    0.000 copy.py:66(copy)
     5826    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
    16687    0.002    0.000    0.002    0.000 multiarray.py:148(concatenate)
    18233    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
       60    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(linspace)
     1368    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      109    0.000    0.000    0.002    0.000 deprecation.py:183(deprecate)
        2    0.000    0.000    0.002    0.001 _version.py:7(<module>)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3881(leaveWhitespace)
     2871    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x902780}
        1    0.000    0.000    0.002    0.002 cli.py:1(<module>)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
      590    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       60    0.001    0.000    0.002    0.000 function_base.py:23(linspace)
      618    0.000    0.000    0.002    0.000 _inspect.py:96(getargspec)
    16684    0.002    0.000    0.002    0.000 fromnumeric.py:1390(_resize_dispatcher)
        1    0.000    0.000    0.002    0.002 main.py:1(<module>)
    16684    0.002    0.000    0.002    0.000 fromnumeric.py:193(_reshape_dispatcher)
        6    0.000    0.000    0.002    0.000 patches.py:1872(_pprint_styles)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3952(copy)
        1    0.000    0.000    0.002    0.002 artist.py:1312(get_setters)
        1    0.000    0.000    0.002    0.002 _minpack_py.py:1(<module>)
     6231    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.002    0.002 defmatrix.py:1(<module>)
       16    0.000    0.000    0.001    0.000 rcsetup.py:794(cycler)
      745    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.001    0.001 _optimize.py:20(<module>)
        1    0.000    0.000    0.001    0.001 numpy_pickle.py:1(<module>)
