         12397635 function calls (11959433 primitive calls) in 17.508 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    74250    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     1583    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.005    0.005 iterative.py:1(<module>)
        2    0.000    0.000    0.005    0.002 _adapters.py:1(<module>)
       24    0.000    0.000    0.005    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.004    0.004 py3k.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
      316    0.001    0.000    0.004    0.000 overrides.py:170(decorator)
        1    0.000    0.000    0.004    0.004 ExifTags.py:12(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:4(<module>)
     7925    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.004    0.004 cm.py:33(_gen_cmap_registry)
        1    0.000    0.000    0.004    0.004 common.py:2(<module>)
       41    0.000    0.000    0.004    0.000 _add_newdocs_scalars.py:62(<genexpr>)
       18    0.000    0.000    0.004    0.000 rcsetup.py:721(validate_cycler)
        1    0.000    0.000    0.004    0.004 _codata.py:7(<module>)
       21    0.000    0.000    0.004    0.000 platform.py:885(system)
        1    0.000    0.000    0.004    0.004 specifiers.py:107(Specifier)
       38    0.000    0.000    0.004    0.000 platform.py:747(uname)
        1    0.000    0.000    0.004    0.004 __init__.py:799(distribution)
        1    0.000    0.000    0.004    0.004 __init__.py:367(from_name)
        1    0.000    0.000    0.004    0.004 platform.py:604(_syscmd_uname)
        1    0.000    0.000    0.004    0.004 common.py:8(pyparsing_common)
      416    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
       27    0.000    0.000    0.004    0.000 _functools.py:75(wrapper)
        8    0.000    0.000    0.004    0.001 __init__.py:738(<genexpr>)
     1712    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        7    0.000    0.000    0.004    0.001 __init__.py:630(search)
        9    0.000    0.000    0.004    0.000 dataclasses.py:1010(wrap)
        9    0.000    0.000    0.004    0.000 dataclasses.py:807(_process_class)
        7    0.000    0.000    0.004    0.001 __init__.py:639(lookup)
        7    0.000    0.000    0.004    0.001 __init__.py:645(__init__)
        4    0.000    0.000    0.004    0.001 {method 'sum' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.004    0.001 _methods.py:46(_sum)
       13    0.000    0.000    0.004    0.000 enum.py:483(_convert_)
     1074    0.004    0.000    0.004    0.000 {built-in method numpy.asanyarray}
      100    0.000    0.000    0.004    0.000 deprecation.py:416(make_keyword_only)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 helpers.py:2(<module>)
        1    0.000    0.000    0.004    0.004 _pslinux.py:5(<module>)
        1    0.000    0.000    0.004    0.004 disk.py:1(<module>)
      864    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
       47    0.000    0.000    0.004    0.000 __init__.py:1328(_add_data_doc)
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
    12467    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
    18686    0.003    0.000    0.003    0.000 sre_parse.py:233(__next)
     8671    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.003    0.003 message.py:5(<module>)
        1    0.000    0.000    0.003    0.003 _linprog.py:1(<module>)
       17    0.000    0.000    0.003    0.000 enum.py:430(_create_)
        1    0.000    0.000    0.003    0.003 artist.py:1(<module>)
        1    0.000    0.000    0.003    0.003 textpath.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:15(<module>)
     3791    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x902780}
      284    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
      300    0.001    0.000    0.003    0.000 typing.py:659(__init__)
     1546    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        3    0.000    0.000    0.003    0.001 version.py:4(<module>)
        1    0.000    0.000    0.003    0.003 _root.py:1(<module>)
        2    0.000    0.000    0.003    0.002 context.py:1(<module>)
        1    0.000    0.000    0.003    0.003 table.py:9(<module>)
        3    0.000    0.000    0.003    0.001 patches.py:2184(__init_subclass__)
       11    0.000    0.000    0.003    0.000 core.py:1132(parse_string)
        6    0.000    0.000    0.003    0.001 patches.py:2226(pprint_styles)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
       10    0.000    0.000    0.003    0.000 core.py:5706(__init__)
 2108/627    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.003    0.001 utils.py:5(<module>)
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
       32    0.000    0.000    0.003    0.000 colors.py:1027(from_list)
     30/9    0.000    0.000    0.003    0.000 core.py:4577(leave_whitespace)
    47951    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        4    0.002    0.000    0.003    0.001 _codata.py:1503(parse_constants_2002to2014)
        1    0.000    0.000    0.003    0.003 _parser.py:2(<module>)
        6    0.000    0.000    0.003    0.000 patches.py:2230(<listcomp>)
      407    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
      716    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       45    0.000    0.000    0.003    0.000 dataclasses.py:375(_create_fn)
        1    0.000    0.000    0.003    0.003 pyprojecttoml.py:1(<module>)
