         28432909 function calls (28411067 primitive calls) in 212.700 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      206    0.000    0.000    0.004    0.000 <__array_function__ internals>:177(prod)
      717    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:147(__enter__)
       13    0.000    0.000    0.004    0.000 synchronize.py:171(__init__)
        2    0.000    0.000    0.004    0.002 version.py:4(<module>)
        1    0.000    0.000    0.004    0.004 disk.py:1(<module>)
      350    0.000    0.000    0.004    0.000 resource_tracker.py:167(_check_alive)
        8    0.000    0.000    0.004    0.000 dataclasses.py:1010(wrap)
        8    0.000    0.000    0.004    0.000 dataclasses.py:807(_process_class)
      103    0.001    0.000    0.004    0.000 fromnumeric.py:3356(mean)
      100    0.000    0.000    0.004    0.000 deprecation.py:416(make_keyword_only)
     2472    0.003    0.000    0.004    0.000 parallel.py:572(__init__)
     1096    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.004    0.004 category.py:1(<module>)
    22120    0.003    0.000    0.004    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
        1    0.000    0.000    0.004    0.004 numeric.py:1(<module>)
     8684    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.004    0.004 textpath.py:1(<module>)
   273/11    0.001    0.000    0.004    0.000 core.py:809(_parseNoCache)
     1217    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
    63/11    0.000    0.000    0.004    0.000 core.py:4034(parseImpl)
     2575    0.002    0.000    0.004    0.000 parallel.py:1465(_get_batch_size)
        1    0.000    0.000    0.004    0.004 __init__.py:15(<module>)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
     1330    0.000    0.000    0.003    0.000 abc.py:96(__instancecheck__)
       47    0.000    0.000    0.003    0.000 __init__.py:1328(_add_data_doc)
       12    0.000    0.000    0.003    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.003    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
     6031    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
      206    0.001    0.000    0.003    0.000 fromnumeric.py:2970(prod)
      104    0.001    0.000    0.003    0.000 queue.py:33(__init__)
       12    0.000    0.000    0.003    0.000 spawn.py:59(get_preparation_data)
        1    0.000    0.000    0.003    0.003 _matfuncs.py:4(<module>)
5349/5183    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.003    0.003 __init__.py:17(<module>)
        1    0.000    0.000    0.003    0.003 table.py:9(<module>)
        1    0.000    0.000    0.003    0.003 context.py:1(<module>)
      215    0.001    0.000    0.003    0.000 posixpath.py:372(abspath)
        3    0.000    0.000    0.003    0.001 patches.py:2184(__init_subclass__)
     4944    0.002    0.000    0.003    0.000 queue.py:212(_put)
     2472    0.003    0.000    0.003    0.000 parallel.py:685(__init__)
      643    0.002    0.000    0.003    0.000 posixpath.py:71(join)
        6    0.000    0.000    0.003    0.001 patches.py:2226(pprint_styles)
       24    0.001    0.000    0.003    0.000 reduction.py:157(__init__)
     1232    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
     1330    0.001    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.003    0.003 scale.py:1(<module>)
       32    0.000    0.000    0.003    0.000 colors.py:1027(from_list)
      236    0.001    0.000    0.003    0.000 fromnumeric.py:69(_wrapreduction)
      409    0.000    0.000    0.003    0.000 rcsetup.py:307(validate_color)
        1    0.000    0.000    0.003    0.003 _parser.py:2(<module>)
      396    0.001    0.000    0.003    0.000 cloudpickle_fast.py:691(reducer_override)
      103    0.002    0.000    0.003    0.000 utils.py:1005(_median_nancheck)
        1    0.000    0.000    0.003    0.003 version.py:159(Version)
        1    0.000    0.000    0.003    0.003 _misc.py:1(<module>)
        7    0.000    0.000    0.003    0.000 enum.py:483(_convert_)
    38921    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        6    0.000    0.000    0.003    0.000 patches.py:2230(<listcomp>)
        4    0.002    0.000    0.003    0.001 _codata.py:1503(parse_constants_2002to2014)
      230    0.001    0.000    0.003    0.000 sre_compile.py:536(_compile_info)
     2575    0.003    0.000    0.003    0.000 _parallel_backends.py:43(__init__)
       11    0.000    0.000    0.003    0.000 enum.py:430(_create_)
        3    0.000    0.000    0.003    0.001 _common.py:1(<module>)
       10    0.000    0.000    0.003    0.000 core.py:5706(__init__)
 1503/487    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
       10    0.000    0.000    0.003    0.000 util.py:251(_inner)
     30/9    0.000    0.000    0.003    0.000 core.py:4577(leave_whitespace)
        1    0.000    0.000    0.003    0.003 legend.py:1(<module>)
      286    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 inspect.py:1(<module>)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:33(<module>)
     8649    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
      601    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.003    0.003 reduction.py:10(<module>)
        1    0.000    0.000    0.003    0.003 _secondary_axes.py:1(<module>)
     6198    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.003    0.003 platform.py:3(<module>)
      178    0.001    0.000    0.003    0.000 typing.py:659(__init__)
       42    0.000    0.000    0.003    0.000 dataclasses.py:375(_create_fn)
        1    0.000    0.000    0.003    0.003 subprocess.py:10(<module>)
      230    0.002    0.000    0.003    0.000 sre_compile.py:276(_optimize_charset)
      461    0.000    0.000    0.003    0.000 core.py:522(copy)
      412    0.000    0.000    0.003    0.000 colors.py:218(is_color_like)
     7548    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     2472    0.001    0.000    0.002    0.000 synchronize.py:118(__enter__)
 1432/170    0.000    0.000    0.002    0.000 abc.py:100(__subclasscheck__)
      103    0.000    0.000    0.002    0.000 <__array_function__ internals>:177(expand_dims)
        1    0.000    0.000    0.002    0.002 tempfile.py:1(<module>)
      407    0.001    0.000    0.002    0.000 deprecation.py:9(wrap)
      111    0.000    0.000    0.002    0.000 rcsetup.py:88(f)
        2    0.000    0.000    0.002    0.001 abc.py:1(<module>)
       20    0.000    0.000    0.002    0.000 core.py:4989(parseImpl)
 1432/170    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     6804    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     2006    0.000    0.000    0.002    0.000 _collections_abc.py:719(__iter__)
        1    0.000    0.000    0.002    0.002 socket.py:4(<module>)
  309/103    0.001    0.000    0.002    0.000 _utils.py:37(eval_)
      208    0.002    0.000    0.002    0.000 {built-in method posix.mkdir}
